objectid,image_thumb,image_small,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,,,IMG_6321sm.jpg,,,"Gravestone of James Alleson (1747), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Anonymous,1747-04-20,"Example of Death's Head on Gravestone of James Alleson (1747), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Here Lies; Death's Head; Eighteenth Century; Male; Upright; Doorway Shape; Perth Amboy; Episcopal Church; Protestant; 1740s; Alleson Family; Winged Death's Head; Saint Peters Churchyard Cemetery; Sandstone,"Perth Amboy, New Jersey",40.50373,-74.26565,"Laura Leibman, photographer, 2024",IMG_6277,Image;StillImage;Gravestone,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,,,IMG_6315sm.jpg,,,"Gravestone of John Sargeant (1759), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Anonymous,1759-09-25,"Example of Cherub on Gravestone of John Sargeant (1759), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Sandstone; Cherub; Eighteenth Century; Male; Upright; Doorway Shape; Perth Amboy; Episcopal Church; Protestant; 1750s; Sargeant Family; Wigged Cherub; Winged Cherub; Saint Peters Churchyard Cemetery,"Perth Amboy, New Jersey",40.50373,-74.26565,"Laura Leibman, photographer, 2024",IMG_6315,Image;StillImage;Gravestone,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,,,IMG_6312sm.jpg,,,"Gravestone of Rachel Sargeant (1761), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Anonymous,1761-12-20,"Example of Wigged Cherub on Gravestone of Rachel, wife of Sam Sargeant (1761), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Cherub; Eighteenth Century; Female; Upright; Doorway Shape; Perth Amboy; Episcopal Church; Protestant; 1760s; Sargeant Family; Here Lies; Wife; Kinship marker; Winged Cherub; Saint Peters Churchyard Cemetery; Sandstone,"Perth Amboy, New Jersey",40.50373,-74.26565,"Laura Leibman, photographer, 2024",IMG_6312,Image;StillImage;Gravestone,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,,,IMG_6296sm.jpg,,,"Gravestone of Francis Goelet (1767), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Anonymous,1767-05-20,"Example of Wigged Cherub on Gravestone of Francis Goelet (1767), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Cherub; Eighteenth Century; Male; Upright; Doorway Shape; Perth Amboy; Episcopal Church; Protestant; 1760s; Grolet Family; Here Lies; Circles; Wigged Cherub; Winged Cherub; Crown; Saint Peters Churchyard Cemetery; Sandstone,"Perth Amboy, New Jersey",40.50373,-74.26565,"Laura Leibman, photographer, 2024",IMG_6296,Image;StillImage;Gravestone,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,,,IMG_6293sm.jpg,,,"Gravestone of the Honorable Samuel Nevill Esq. (1761), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA","William Stevens (1710-1790), Newport, RI",1764-10-27,"Example of Winged Cherub on Gravestone of the Honorable Samuel Nevill Esq. (1761), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Cherub; Eighteenth Century; Male; Upright; Doorway Shape; Perth Amboy; Episcopal Church; Protestant; 1760s; Grolet Family; Here Lies; Circles; Winged Cherub; Status Markers; Esquire; Vegetative Imagery; Lilypods; Flowers; Eyelashes; Saint Peters Churchyard Cemetery; Slate,"Perth Amboy, New Jersey",40.50373,-74.26565,"Laura Leibman, photographer, 2024",IMG_6293,Image;StillImage;Gravestone,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,,,IMG_5436.jpg,,,View of Old Colonial Cemetery of Metuchen,Anonymous,2024-10-13,View of Gravestone in Old Colonial Cemetery of Metuchen,Old Colonial Cemetery of Metuchen;,"Metuchen, NJ",40.54003,-74.36105,"Laura Leibman, photographer, 2024",IMG_5436,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,,,IMG_5459.jpg,,,"Gravestone of Mary Thorp (1814), Old Colonial Cemetery of Metuchen
Metuchen, Middlesex County, New Jersey, USA",Anonymous,1814-10-14,"Overview of Gravestone of Mary Thorp (1814), Daughter of Joseph and Anner Thorp, Old Colonial Cemetery of Metuchen, Metuchen, Middlesex County, New Jersey, USA. Poem: Friends and patrents as you pass by / As you are now so once was I / As. am now so you must be / Prepare for death and follow me",Old Colonial Cemetery of Metuchen; 1810s; Kinship marker; Female; Daughter; Upright; Doorway Shape; Poem; Birds; Monogram; Flowers; Vegetative Imagery; Abstract Designs; Shell Design; memento mori; nineteenth century,"Metuchen, NJ",40.54003,-74.36105,"Laura Leibman, photographer, 2024",IMG5459,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,,,IMG_5460.jpg,,,"Detail of Gravestone of Mary Thorp (1814), Old Colonial Cemetery of Metuchen
Metuchen, Middlesex County, New Jersey, USA",Anonymous,1814-10-14,"Detail of birds on Gravestone of Mary Thorp (1814), Daughter of Joseph and Anner Thorp, Old Colonial Cemetery of Metuchen, Metuchen, Middlesex County, New Jersey, USA. Poem: Friends and patrents as you pass by / As you are now so once was I / As. am now so you must be / Prepare for death and follow me",Old Colonial Cemetery of Metuchen; 1810s; Kinship marker; Female; Daughter; Upright; Doorway Shape; Poem; Birds; Monogram; Flowers; Vegetative Imagery; Abstract Designs; Shell Design; memento mori; nineteenth century,"Metuchen, NJ",40.54003,-74.36105,"Laura Leibman, photographer, 2024",IMG5460,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,,,QuakerCemeteryPrinceton.jpg,,,"View of Stony Brook Quaker Meeting House Burial Ground
Princeton, Mercer County, New Jersey, USA",Anonymous,2024-0904,"View of Stony Brook Quaker Meeting House Burial Ground
Princeton, Mercer County, New Jersey, USA",Stony Brook Quaker Meeting House Burial Ground; Princeton;,"Princeton, NJ",40.32701,-74.6776,"Laura Leibman, photographer, 2024",QuakerCemeteryPrinceton,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,,,eunicefreeman.jpg,,,"Gravestone of Eunice Freeman (1791), Old Colonial Cemetery of Metuchen
Metuchen, Middlesex County, New Jersey, USA",Jonathan Hand Osborn,1791-04-24,"Example of Tulip motif and clover border on Gravestone of Eunice Freeman (1791), daughter of Captain Matthew Freeman and Margret Freeman. Aged 19 years. Carved (and signed) by Jonathan Hand Osborn of Scotch Plains, NJ. Osborn and his brother Henry were important cervers who worked in the style of Ebenezer Price (Veit and Nonestied 51). The stone includes poem at the bottom: ""A pale consumption gave the fatal blow / The stroke was certain but the effect was slow / With wasting pains death found me long oppressed / Pitty'd my sighs and finally gave me rest."" Old Colonial Cemetery of Metuchen
Metuchen, Middlesex County, New Jersey, USA",Old Colonial Cemetery of Metuchen; 1790s; Kinship marker; Female; Daughter; Upright; Poem; Tulip; Flowers; Vegetative Imagery; Clovers; eighteenth century; Freeman family; Jonathan Hand Osborn Carver; Poem; female,"Metuchen, NJ",40.54003,-74.36105,"Laura Leibman, photographer, 2024",eunicefreeman,multiple,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,metuchenmultiple.jpg,,,"Detail of Gravestone of Eunice Freeman (1791), Old Colonial Cemetery of Metuchen",Jonathan Hand Osborn,,"Detail of top. Example of Tulip motif and clover border on Gravestone of Eunice Freeman (1791), daughter of Captain Matthew Freeman and Margret Freeman. Aged 19 years. Carved (and signed) by Jonathan Hand Osborn of Scotch Plains, NJ. Osborn and his brother Henry were important cervers who worked in the style of Ebenezer Price (Veit and Nonestied 51). The stone includes poem at the bottom: ""A pale consumption gave the fatal blow / The stroke was certain but the effect was slow / With wasting pains death found me long oppressed / Pitty'd my sighs and finally gave me rest."" Old Colonial Cemetery of Metuchen
Metuchen, Middlesex County, New Jersey, USA",,,,,,metuchenmultiple,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,,,metuchenheader.jpg,,,View of Old Colonial Cemetery of Metuchen,Anonymous,2024-10-13,View of Gravestone in Old Colonial Cemetery of Metuchen,Old Colonial Cemetery of Metuchen;,"Metuchen, NJ",40.54003,-74.36105,"Laura Leibman, photographer, 2024",metuchenheader,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,,,gravespiscataway.jpg,,,"View of the Piscatawaytown Burial Ground, aka Saint James Episcopal Church Cemetery",,2024-09-01,"View of the Piscatawaytown Burial Ground, aka Saint James Episcopal Church Cemetery; Saint James Episcopal Church Cemetery ",Piscatawaytown Burial Ground; ,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",gravespiscataway,Image;Stillimage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
